Municipality,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
København,57383.0,77161.0,81627.0,81438.0,83594.0,87918.0,85772.0,80382.0,77403.0,83554.0,82214.0,70924.0,69304.0,63445.0,47839.0,55753.0,65443.0
Frederiksberg,5576.0,7391.0,7686.0,8396.0,8819.0,9561.0,9198.0,8532.0,8110.0,7850.0,7645.0,6853.0,5865.0,6428.0,5774.0,6183.0,6833.0
Dragør,444.0,613.0,605.0,661.0,539.0,684.0,573.0,440.0,511.0,507.0,499.0,483.0,502.0,503.0,417.0,390.0,391.0
Tårnby,2972.0,4285.0,4697.0,4606.0,4158.0,4579.0,4417.0,4330.0,4016.0,4328.0,3969.0,3789.0,3628.0,2956.0,2054.0,2955.0,3109.0
Albertslund,1838.0,2814.0,2935.0,3031.0,2388.0,2515.0,2439.0,2241.0,2073.0,2036.0,2260.0,1716.0,1790.0,2670.0,1573.0,1642.0,1640.0
Ballerup,2950.0,3826.0,4814.0,4747.0,4151.0,4029.0,3762.0,3851.0,3455.0,3567.0,3546.0,3010.0,2930.0,2864.0,2519.0,2824.0,3018.0
Brøndby,2223.0,3106.0,3072.0,3239.0,2672.0,3021.0,2865.0,3162.0,2640.0,3168.0,2850.0,2647.0,2250.0,1934.0,1935.0,2237.0,2320.0
Gentofte,4055.0,5045.0,5821.0,6176.0,5266.0,5805.0,5558.0,5380.0,4879.0,5095.0,5702.0,5299.0,4719.0,4021.0,3577.0,3807.0,3911.0
Gladsaxe,2953.0,4341.0,5043.0,5253.0,4393.0,4401.0,4433.0,4042.0,4151.0,4409.0,3991.0,3569.0,3585.0,3207.0,2576.0,3488.0,3541.0
Glostrup,1748.0,2400.0,2613.0,2576.0,2075.0,2371.0,2149.0,2185.0,2283.0,2266.0,2357.0,2264.0,1874.0,1798.0,1584.0,1711.0,1776.0
Herlev,1868.0,2481.0,2621.0,3085.0,2437.0,2565.0,2467.0,2269.0,2630.0,2302.0,2039.0,2285.0,2078.0,2842.0,1643.0,1736.0,1800.0
Hvidovre,3872.0,4781.0,5070.0,5571.0,4390.0,4494.0,4538.0,4279.0,3666.0,3666.0,4013.0,3578.0,3326.0,3148.0,3170.0,2891.0,2927.0
Høje-Taastrup,2792.0,4386.0,4808.0,4537.0,3879.0,3660.0,3993.0,3617.0,4040.0,3918.0,3989.0,3187.0,3092.0,3117.0,3057.0,2746.0,2870.0
Ishøj,1591.0,2874.0,2803.0,2489.0,1935.0,1978.0,1868.0,1782.0,1768.0,1601.0,1573.0,1492.0,1415.0,1403.0,1182.0,1139.0,1200.0
